country,F_population,M_population,F_population_suicides_no,M_population_suicides_no
"Australia, 1980",6746300,6738800,408,1198
"Australia, 1981",6922300,6866100,413,1258
"Australia, 1982",7038700,6984900,448,1318
"Australia, 1983",7133500,7076100,399,1298
"Australia, 1984",7218900,7155900,406,1347
"Australia, 1985",7313800,7248700,425,1436
"Australia, 1986",7428700,7381100,463,1581
"Australia, 1987",7549000,7497500,437,1727
"Australia, 1988",7682300,7629800,460,1712
"Australia, 1989",7820100,7750500,424,1642
"Australia, 1990",7940900,7866100,444,1758
"Australia, 1991",8049100,7963000,482,1806
"Australia, 1992",8148600,8054900,465,1786
"Australia, 1993",8234300,8135700,398,1640
"Australia, 1994",8325900,8223500,418,1865
"Australia, 1995",8442000,8324300,459,1711
"Australia, 1996",8572400,8442700,460,1966
"Australia, 1997",8683543,8537757,557,2089
"Australia, 1998",8789173,8632557,524,2108
"Australia, 1999",8903984,8737718,489,1999
"Australia, 2000",9024949,8849461,505,1886
"Australia, 2001",9157730,8973153,522,1936
"Australia, 2002",9268481,9101577,506,1813
"Australia, 2003",9382862,9225167,471,1685
"Australia, 2004",9511351,9343200,442,1672
"Australia, 2006",9641316,9467930,494,1623
"Australia, 2007",9945972,9788458,530,1699
"Australia, 2008",10131802,9988510,508,1833
"Australia, 2009",10329158,10200159,552,1785
"Australia, 2010",10491256,10356291,553,1867
"Australia, 2011",10512203,10369707,580,1812
"Australia, 2012",10690641,10548268,650,1930
"Australia, 2013",10873968,10726212,664,1944
"Australia, 2014",11046550,10881037,709,2182
"Australia, 2015",11201512,11039273,735,2292
"Austria, 1980",3743200,3328600,590,1342
"Austria, 1981",3776400,3357400,595,1437
"Austria, 1982",3771565,3359958,571,1499
"Austria, 1983",3759380,3353386,611,1430
"Austria, 1984",3753551,3353698,586,1442
"Austria, 1985",3751216,3358899,624,1467
"Austria, 1986",3751163,3367986,628,1511
"Austria, 1987",3752067,3377939,624,1445
"Austria, 1988",3754574,3389836,529,1322
"Austria, 1989",3765532,3412134,585,1313
"Austria, 1990",3785073,3446280,541,1284
"Austria, 1991",3812047,3487681,470,1299
"Austria, 1992",3844533,3530835,477,1282
"Austria, 1993",3868844,3564725,460,1244
"Austria, 1994",3879372,3583180,491,1285
"Austria, 1995",3884513,3592517,455,1333
"Austria, 1996",3891584,3602122,443,1336
"Austria, 1997",3899564,3613025,417,1175
"Austria, 1998",3908154,3625365,382,1177
"Austria, 1999",3919903,3641706,429,1126
"Austria, 2000",3932182,3659891,432,1156
"Austria, 2001",3949662,3684898,408,1081
"Austria, 2002",3968970,3714192,363,1190
"Austria, 2003",3985088,3736945,388,1068
"Austria, 2004",4008915,3764190,346,1076
"Austria, 2005",4032829,3794632,350,1049
"Austria, 2006",4051115,3818154,297,1000
"Austria, 2007",4064372,3832900,317,968
"Austria, 2008",4077800,3847458,304,963
"Austria, 2009",4087694,3859200,306,972
"Austria, 2010",4097737,3870684,294,970
"Austria, 2011",4109664,3885482,313,975
"Austria, 2012",4124932,3906344,289,987
"Austria, 2013",4145640,3933975,324,967
"Austria, 2014",4172127,3969038,324,990
"Austria, 2015",4201798,4017588,290,961
"Austria, 2016",4241056,4078155,297,907
"Azerbaijan, 1981",2855400,2677000,99,188
"Azerbaijan, 1982",2898100,2716400,80,159
"Azerbaijan, 1985",3023400,2828700,78,166
"Azerbaijan, 1986",3063600,2864700,82,153
"Azerbaijan, 1987",3107200,2906700,86,168
"Azerbaijan, 1988",3153100,2953200,81,151
"Azerbaijan, 1989",3152800,2958400,73,146
"Azerbaijan, 1990",3174100,2982700,25,89
"Azerbaijan, 1991",3241000,3049600,32,102
"Azerbaijan, 1992",3277100,3093300,38,106
"Azerbaijan, 1993",3307200,3135400,36,83
"Azerbaijan, 1994",3341200,3180000,19,28
"Azerbaijan, 1995",3378500,3227400,7,42
"Azerbaijan, 1996",3404200,3263900,13,56
"Azerbaijan, 1997",3423400,3287800,21,86
"Azerbaijan, 1998",3600000,3444400,15,41
"Azerbaijan, 1999",3639100,3467300,10,44
"Azerbaijan, 2000",3812650,3602600,16,46
"Azerbaijan, 2001",3861100,3656900,81,236
"Azerbaijan, 2002",3902100,3703600,19,73
"Azerbaijan, 2003",3933800,3740600,36,93
"Azerbaijan, 2004",3962800,3775450,30,78
"Azerbaijan, 2007",4045150,3875950,14,41
"Bahamas, 1980",90700,89700,0,1
"Bahamas, 1981",91800,89300,0,1
"Bahamas, 1983",96000,93500,1,4
"Bahamas, 1984",101900,98400,1,6
"Bahamas, 1985",103700,100000,0,1
"Bahamas, 1987",111800,109100,0,3
"Bahamas, 1993",124300,119200,1,6
"Bahamas, 1994",127400,121900,0,3
"Bahamas, 1995",129900,124600,0,2
"Bahamas, 1996",128566,123872,0,3
"Bahamas, 1997",130783,125173,0,2
"Bahamas, 1998",133352,126773,0,3
"Bahamas, 1999",136118,128673,1,5
"Bahamas, 2000",138914,130824,2,9
"Bahamas, 2001",142276,133864,0,1
"Bahamas, 2002",145529,137026,0,3
"Bahamas, 2003",148672,140216,0,1
"Bahamas, 2004",151804,143433,0,2
"Bahamas, 2005",155050,146713,1,3
"Bahamas, 2006",158425,150074,0,2
"Bahamas, 2007",161703,153286,1,4
"Bahamas, 2008",164978,156469,0,4
"Bahamas, 2009",168210,159603,1,5
"Bahamas, 2010",171279,162590,4,6
"Bahamas, 2011",173555,164828,1,3
"Bahamas, 2012",176161,167397,1,4
"Bahamas, 2013",178883,170076,1,4
"Bahrain, 1985",143900,222000,1,10
"Bahrain, 1987",146300,217600,2,7
"Bahrain, 1988",158300,231400,1,13
"Bahrain, 1997",222442,307312,0,0
"Bahrain, 1998",230002,316006,0,0
"Bahrain, 1999",238268,327494,3,14
"Bahrain, 2000",247589,343005,1,28
"Bahrain, 2001",258965,365118,3,20
"Bahrain, 2002",270783,390227,7,18
"Bahrain, 2003",283695,419218,5,29
"Bahrain, 2004",298453,453106,7,35
"Bahrain, 2005",321386,498154,7,35
"Bahrain, 2006",344827,543716,11,17
"Bahrain, 2007",370492,594278,6,34
"Bahrain, 2008",387804,636306,8,35
"Bahrain, 2009",404387,688535,6,30
"Bahrain, 2010",420247,718913,4,15
"Bahrain, 2011",408660,694802,6,12
"Bahrain, 2012",445327,756451,1,18
"Bahrain, 2013",453706,760786,0,5
"Bahrain, 2014",458879,755087,1,8
"Barbados, 1979",119800,109500,0,2
"Barbados, 1980",115000,113700,2,1
"Barbados, 1981",115800,113700,0,7
"Barbados, 1982",119800,108700,0,2
"Barbados, 1983",120800,109400,0,9
"Barbados, 1984",121200,109700,2,3
"Barbados, 1985",122000,109000,2,5
"Barbados, 1986",122300,109300,1,7
"Barbados, 1987",123600,110100,2,4
"Barbados, 1988",124100,110700,1,11
"Barbados, 1989",123000,113000,4,12
"Barbados, 1990",124000,113000,3,13
"Barbados, 1991",124000,113000,4,13
"Barbados, 1992",126000,114000,3,11
"Barbados, 1993",124800,114800,1,15
"Barbados, 1994",125100,115200,4,10
"Barbados, 1995",125400,115800,5,12
"Barbados, 2000",131011,120122,2,8
"Barbados, 2001",131704,120702,0,2
"Barbados, 2002",132226,121127,0,0
"Barbados, 2003",132648,121474,0,0
"Barbados, 2004",133086,121839,0,3
"Barbados, 2005",133597,122292,0,1
"Barbados, 2006",134124,122759,0,9
"Barbados, 2007",134747,123336,0,0
"Barbados, 2008",135437,123977,1,0
"Barbados, 2009",136113,124605,0,5
"Barbados, 2010",136752,125175,0,3
"Barbados, 2011",137410,125793,0,0
"Barbados, 2012",137992,126278,0,0
"Barbados, 2013",138491,126674,0,0
"Belarus, 1981",4822300,4122600,451,1937
"Belarus, 1982",4849400,4151700,473,2143
"Belarus, 1985",4917200,4230700,427,1875
"Belarus, 1986",4938400,4254700,394,1383
"Belarus, 1987",4959100,4279000,454,1467
"Belarus, 1988",4985500,4311000,418,1451
"Belarus, 1989",5016000,4348700,436,1773
"Belarus, 1990",5034600,4374200,435,1650
"Belarus, 1991",5063500,4412700,442,1727
"Belarus, 1992",5107800,4463100,470,1954
"Belarus, 1993",5140900,4500200,525,2360
"Belarus, 1994",5161300,4492600,571,2582
"Belarus, 1995",5184900,4488700,514,2689
"Belarus, 1996",5189900,4494900,546,3081
"Belarus, 1997",5193600,4498500,562,2964
"Belarus, 1998",5196100,4498700,550,3006
"Belarus, 1999",5094300,4468900,529,2868
"Belarus, 2000",5085317,4458162,505,2978
"Belarus, 2001",5071494,4442093,490,2813
"Belarus, 2002",5051565,4417669,511,2780
"Belarus, 2003",5030001,4390690,540,2916
"Belarus, 2007",4951385,4293071,456,2203
"Belarus, 2008",4933394,4272352,471,2187
"Belarus, 2009",4916448,4253521,505,2238
"Belarus, 2010",4830090,4151103,390,2069
"Belarus, 2011",4814895,4132425,380,1792
"Belarus, 2013",4797034,4113206,334,1568
"Belarus, 2014",4794032,4112945,276,1465
"Belgium, 1979",4739700,4509800,755,1359
"Belgium, 1980",4743800,4512800,806,1372
"Belgium, 1981",4740700,4498400,745,1412
"Belgium, 1982",4746400,4501700,704,1449
"Belgium, 1983",4748800,4501800,795,1451
"Belgium, 1984",4748000,4497700,771,1568
"Belgium, 1985",4759700,4509900,759,1522
"Belgium, 1986",4767700,4519400,714,1488
"Belgium, 1987",4769600,4521700,695,1543
"Belgium, 1988",4782600,4536700,643,1353
"Belgium, 1989",4796700,4552500,582,1338
"Belgium, 1990",4806000,4563700,592,1303
"Belgium, 1991",4818100,4578500,527,1278
"Belgium, 1992",4832700,4595400,565,1313
"Belgium, 1993",4849300,4613600,590,1552
"Belgium, 1994",4865900,4631500,588,1543
"Belgium, 1995",4882300,4644800,605,1550
"Belgium, 1996",4898542,4659003,555,1458
"Belgium, 1997",4907982,4668241,595,1551
"Belgium, 1998",4930419,4690578,557,1462
"Belgium, 1999",4943885,4704392,496,1361
"Belgium, 2000",4956727,4717298,617,1526
"Belgium, 2001",4974251,4735804,583,1582
"Belgium, 2002",4997263,4761307,579,1497
"Belgium, 2003",5019283,4784839,554,1537
"Belgium, 2004",5041684,4806338,537,1450
"Belgium, 2005",5068873,4832141,552,1477
"Belgium, 2006",5099439,4863263,540,1395
"Belgium, 2007",5131909,4898357,537,1320
"Belgium, 2008",5165996,4934854,547,1452
"Belgium, 2009",5201848,4971518,554,1459
"Belgium, 2010",5220704,4990467,563,1450
"Belgium, 2011",5283592,5071534,600,1488
"Belgium, 2012",5324724,5117913,541,1485
"Belgium, 2013",5362716,5163433,532,1363
"Belgium, 2014",5389207,5189641,561,1338
"Belgium, 2015",5411388,5212968,552,1315
"Belize, 1980",60900,60700,0,2
"Belize, 1982",63500,63300,0,0
"Belize, 1983",65300,65100,0,0
"Belize, 1984",67300,67200,0,2
"Belize, 1986",73600,73200,1,2
"Belize, 1987",71508,72561,0,4
"Belize, 1989",75955,77133,0,1
"Belize, 1990",78200,79800,1,2
"Belize, 1991",80300,81900,0,2
"Belize, 1993",84600,86200,0,1
"Belize, 1994",84890,85984,1,7
"Belize, 1995",89400,91100,1,13
"Belize, 1996",89902,91024,0,8
"Belize, 1997",93242,94408,0,1
"Belize, 1998",96944,98164,1,11
"Belize, 1999",100715,101984,0,18
"Belize, 2000",104407,105702,4,14
"Belize, 2001",108001,109278,2,17
"Belize, 2002",111443,112693,5,9
"Belize, 2003",114846,116044,4,8
"Belize, 2004",118344,119447,1,19
"Belize, 2005",122040,122980,1,11
"Belize, 2006",126053,126773,2,9
"Belize, 2007",130126,130541,2,6
"Belize, 2008",134214,134273,1,10
"Belize, 2009",138240,137949,4,11
"Belize, 2010",142195,141601,2,13
"Belize, 2011",146283,145379,5,28
"Belize, 2012",150029,148917,2,16
"Belize, 2013",153570,152318,1,16
"Belize, 2014",157090,155690,6,18
"Belize, 2015",160712,159123,4,22
"Bermuda, 1980",25900,24500,1,2
"Bermuda, 1983",26300,25000,0,3
"Bosnia and Herzegovina, 1985",1974400,1950500,98,335
"Bosnia and Herzegovina, 1986",1995700,1966200,120,380
"Bosnia and Herzegovina, 1987",2014100,1990200,122,357
"Bosnia and Herzegovina, 1988",2033000,2011400,95,333
"Bosnia and Herzegovina, 1989",2052300,2032100,86,354
"Bosnia and Herzegovina, 1990",2073000,2054500,87,375
"Bosnia and Herzegovina, 1991",2090800,2074500,74,457
"Bosnia and Herzegovina, 2011",1882923,1790389,0,5
"Bosnia and Herzegovina, 2014",1867562,1786607,70,243
"Brazil, 1979",51202700,51003400,1074,2385
"Brazil, 1980",52386700,52182700,1174,2690
"Brazil, 1981",53588900,53380200,1185,2844
"Brazil, 1982",54809000,54595700,1068,2829
"Brazil, 1983",56468300,55976700,1282,3280
"Brazil, 1984",57727800,57224100,1153,3247
"Brazil, 1985",58996800,58482100,1066,3162
"Brazil, 1986",60498100,58278300,1154,3117
"Brazil, 1987",62069011,60753456,1163,3509
"Brazil, 1988",63544932,62156362,1139,3327
"Brazil, 1989",65017542,63552766,1071,3392
"Brazil, 1990",66465881,64921672,1214,3589
"Brazil, 1991",67955648,66326202,1195,3961
"Brazil, 1992",69362826,67644195,1174,4033
"Brazil, 1993",70712639,68902838,1187,4321
"Brazil, 1994",72044422,70144028,1291,4605
"Brazil, 1995",73386017,71397574,1401,5135
"Brazil, 1996",74713439,72639691,1398,5300
"Brazil, 1997",76043898,73888729,1417,5474
"Brazil, 1998",77379095,75145216,1445,5477
"Brazil, 1999",78716968,76405105,1226,5281
"Brazil, 2000",80053417,77662574,1380,5383
"Brazil, 2001",81325620,78853176,1557,6153
"Brazil, 2002",82657227,80104187,1694,6003
"Brazil, 2003",84015212,81381699,1605,6234
