country,F_population,M_population,F_population_suicides_no,M_population_suicides_no
"Colombia, 2014",22410902,21610898,371,1755
"Colombia, 2015",22655726,21834701,482,1850
"Costa Rica, 1980",968000,980000,25,97
"Costa Rica, 1981",979000,991000,20,77
"Costa Rica, 1982",1001000,1014000,19,71
"Costa Rica, 1983",1046200,1036800,19,113
"Costa Rica, 1984",1088300,1100900,19,94
"Costa Rica, 1985",1108600,1127600,16,112
"Costa Rica, 1986",1136700,1156200,13,118
"Costa Rica, 1987",1190200,1210500,22,97
"Costa Rica, 1988",1222200,1243000,17,121
"Costa Rica, 1989",1266000,1290000,31,136
"Costa Rica, 1990",1300800,1327000,18,139
"Costa Rica, 1991",1340000,1364000,19,106
"Costa Rica, 1992",1375700,1402700,23,126
"Costa Rica, 1993",1412600,1441100,27,137
"Costa Rica, 1994",1450000,1479100,29,133
"Costa Rica, 1995",1548500,1586700,36,173
"Costa Rica, 1996",1590837,1601609,24,185
"Costa Rica, 1997",1634978,1644581,28,159
"Costa Rica, 1998",1678650,1687076,23,200
"Costa Rica, 1999",1721302,1728621,23,210
"Costa Rica, 2000",1762524,1768897,28,211
"Costa Rica, 2001",1800628,1806222,28,170
"Costa Rica, 2002",1837682,1842690,39,236
"Costa Rica, 2003",1873670,1878201,53,262
"Costa Rica, 2004",1908394,1912463,44,281
"Costa Rica, 2005",1941776,1945320,41,231
"Costa Rica, 2006",1975446,1978470,55,295
"Costa Rica, 2007",2006427,2008814,44,226
"Costa Rica, 2008",2035461,2037100,34,227
"Costa Rica, 2009",2063814,2064645,42,236
"Costa Rica, 2010",2092341,2092322,43,268
"Costa Rica, 2011",2118288,2117226,53,263
"Costa Rica, 2012",2146142,2144068,42,260
"Costa Rica, 2013",2175146,2172083,39,272
"Costa Rica, 2014",2203848,2199826,45,223
"Croatia, 1985",2266500,2108300,311,739
"Croatia, 1986",2279100,2121400,294,749
"Croatia, 1987",2296700,2140900,332,821
"Croatia, 1988",2304500,2149100,344,769
"Croatia, 1989",2313200,2158200,326,715
"Croatia, 1990",2321800,2167500,332,807
"Croatia, 1991",2328900,2174400,326,776
"Croatia, 1992",2328000,2172100,298,858
"Croatia, 1993",2326400,2169700,312,775
"Croatia, 1994",2325800,2169200,286,801
"Croatia, 1995",2327300,2170100,242,687
"Croatia, 1996",2201200,2019600,263,738
"Croatia, 1997",2239700,2055400,254,692
"Croatia, 1998",2204700,2023200,284,745
"Croatia, 1999",2233900,2049900,273,716
"Croatia, 2000",2147300,1970700,234,692
"Croatia, 2001",2175216,2005417,225,656
"Croatia, 2002",2194500,2022800,230,644
"Croatia, 2003",2198700,2026900,193,672
"Croatia, 2004",2200400,2029200,226,645
"Croatia, 2005",2203188,2032687,223,651
"Croatia, 2006",2201440,2033506,223,573
"Croatia, 2007",2198361,2032494,198,577
"Croatia, 2008",2194947,2030636,184,609
"Croatia, 2009",2189223,2026827,172,618
"Croatia, 2010",2182036,2021927,192,584
"Croatia, 2011",2173782,2015247,182,520
"Croatia, 2012",2104950,1949346,180,596
"Croatia, 2013",2099472,1944985,146,546
"Croatia, 2014",2091949,1938503,186,536
"Croatia, 2015",2077384,1924285,197,542
"Croatia, 2016",2064541,1913642,168,515
"Cuba, 1992",4944400,4971200,966,1333
"Cuba, 1993",4990400,5013800,964,1410
"Cuba, 1994",5034200,5055100,837,1441
"Cuba, 1995",5075200,5093200,813,1409
"Cuba, 1996",5113200,5128400,660,1354
"Cuba, 1997",5110044,5150448,628,1401
"Cuba, 1998",5137922,5170056,655,1401
"Cuba, 1999",5162734,5187305,584,1466
"Cuba, 2000",5188958,5208251,535,1310
"Cuba, 2001",5208072,5225356,449,1203
"Cuba, 2002",5231216,5248199,459,1147
"Cuba, 2003",5256657,5274417,373,1126
"Cuba, 2004",5280094,5298607,371,1144
"Cuba, 2005",5299024,5317382,351,1046
"Cuba, 2006",5318965,5334673,273,1103
"Cuba, 2007",5332410,5345613,266,1041
"Cuba, 2008",5341520,5352294,310,1067
"Cuba, 2009",5349949,5358281,336,1141
"Cuba, 2010",5360124,5365724,329,1229
"Cuba, 2011",5372951,5375083,315,1214
"Cuba, 2012",5385682,5384853,296,1199
"Cuba, 2013",5398101,5394589,298,1201
"Cuba, 2014",5409696,5403715,307,1146
"Cuba, 2015",5420186,5411882,300,1211
"Cyprus, 1999",425837,430896,0,1
"Cyprus, 2000",434793,440436,0,7
"Cyprus, 2004",352930,337686,2,5
"Cyprus, 2005",358486,342777,5,12
"Cyprus, 2006",364754,348672,7,12
"Cyprus, 2007",372478,356088,4,15
"Cyprus, 2008",382289,364745,10,31
"Cyprus, 2009",393500,373674,7,25
"Cyprus, 2010",404735,382346,8,30
"Cyprus, 2011",412437,388383,5,25
"Cyprus, 2012",419733,394572,2,34
"Cyprus, 2013",418843,394173,5,40
"Cyprus, 2014",415223,389595,13,31
"Cyprus, 2015",410382,385655,9,31
"Cyprus, 2016",413582,389440,5,31
"Czech Republic, 1986",4990900,4675600,631,1535
"Czech Republic, 1987",4995300,4681700,551,1385
"Czech Republic, 1988",5001100,4690400,603,1360
"Czech Republic, 1989",5005600,4697900,546,1366
"Czech Republic, 1990",5008100,4702800,563,1434
"Czech Republic, 1991",4992300,4675200,511,1393
"Czech Republic, 1992",4998400,4683500,506,1485
"Czech Republic, 1993",5008100,4695300,505,1412
"Czech Republic, 1994",5016600,4707100,531,1341
"Czech Republic, 1995",5025200,4719100,449,1284
"Czech Republic, 1996",5032400,4731500,362,1206
"Czech Republic, 1997",5041500,4745200,355,1311
"Czech Republic, 1998",5050700,4757600,345,1268
"Czech Republic, 1999",5054401,4764814,325,1285
"Czech Republic, 2000",5053015,4766727,351,1298
"Czech Republic, 2001",5052815,4785268,329,1294
"Czech Republic, 2002",5018336,4734127,318,1216
"Czech Republic, 2003",5013316,4735234,354,1365
"Czech Republic, 2004",5011597,4735050,297,1286
"Czech Republic, 2005",5013201,4748532,292,1273
"Czech Republic, 2006",5017226,4763093,258,1142
"Czech Republic, 2007",5029238,4789057,230,1149
"Czech Republic, 2008",5058312,4841282,256,1123
"Czech Republic, 2009",5070957,4866450,234,1230
"Czech Republic, 2010",5077475,4867798,257,1245
"Czech Republic, 2011",5055523,4850795,253,1337
"Czech Republic, 2012",5062268,4860859,278,1380
"Czech Republic, 2013",5069003,4867777,283,1294
"Czech Republic, 2014",5081734,4881393,293,1196
"Czech Republic, 2015",5092903,4896422,254,1133
"Czech Republic, 2016",5102991,4909840,258,1060
"Denmark, 1994",2476300,2398600,319,680
"Denmark, 1995",2483000,2406100,299,625
"Denmark, 1996",2495900,2421400,261,631
"Denmark, 1997",2505300,2432000,257,560
"Denmark, 1998",2514700,2441700,216,547
"Denmark, 1999",2523761,2452439,199,563
"Denmark, 2000",2534615,2463995,195,533
"Denmark, 2001",2543703,2474748,220,507
"Denmark, 2002",2554260,2486962,185,503
"Denmark, 2003",2561320,2495463,153,480
"Denmark, 2004",2569012,2503915,192,469
"Denmark, 2005",2576916,2512936,174,457
"Denmark, 2006",2585988,2524472,178,472
"Denmark, 2007",2596281,2536720,180,401
"Denmark, 2008",2609669,2552856,185,418
"Denmark, 2009",2624271,2568519,145,477
"Denmark, 2010",2636923,2580862,158,405
"Denmark, 2011",2649570,2594580,152,437
"Denmark, 2012",2661672,2608867,167,494
"Denmark, 2013",2675692,2624006,160,450
"Denmark, 2014",2693368,2645798,160,469
"Denmark, 2015",2711902,2671158,174,390
"Dominica, 1979",31500,29900,0,0
"Dominica, 1980",32200,29800,0,0
"Dominica, 1981",32700,30500,0,0
"Dominica, 1982",32700,30600,0,4
"Dominica, 1984",33500,31900,0,0
"Dominica, 1985",33000,33400,0,0
"Ecuador, 1979",3283000,3313000,80,162
"Ecuador, 1980",3394000,3430000,87,146
"Ecuador, 1981",3458579,3484002,126,195
"Ecuador, 1982",3493700,3536700,148,218
"Ecuador, 1983",3652872,3679098,141,243
"Ecuador, 1984",3700000,3745000,137,252
"Ecuador, 1985",3805900,3855900,114,279
"Ecuador, 1986",3915100,3966200,131,246
"Ecuador, 1987",4160300,4196500,131,259
"Ecuador, 1988",4278300,4314900,142,324
"Ecuador, 1989",4276512,4302107,164,267
"Ecuador, 1990",4387923,4413010,153,295
"Ecuador, 1991",4530300,4561400,189,305
"Ecuador, 1992",4615052,4638103,172,333
"Ecuador, 1993",4733295,4755188,222,352
"Ecuador, 1994",4852397,4872858,171,341
"Ecuador, 1995",4970951,4989612,180,366
"Ecuador, 1996",5089830,5106018,197,396
"Ecuador, 1997",5207186,5220587,189,390
"Ecuador, 1998",5323007,5333439,173,373
"Ecuador, 1999",5437927,5445356,190,426
"Ecuador, 2000",5552434,5556949,163,371
"Ecuador, 2001",5663326,5665002,185,399
"Ecuador, 2002",5774897,5773873,180,397
"Ecuador, 2003",5887336,5883666,222,453
"Ecuador, 2004",6000268,5993885,236,555
"Ecuador, 2005",6113454,6104189,260,683
"Ecuador, 2006",6230898,6218476,298,602
"Ecuador, 2007",6346517,6330837,274,731
"Ecuador, 2008",6461089,6442094,255,673
"Ecuador, 2009",6576211,6553950,245,719
"Ecuador, 2010",6692863,6667422,254,658
"Ecuador, 2011",6806183,6777370,264,654
"Ecuador, 2012",6923839,6892022,265,711
"Ecuador, 2013",7044578,7010035,186,490
"Ecuador, 2014",7166120,7129025,167,567
"Ecuador, 2015",7286798,7247226,266,807
"Egypt, 1980",18474789,18699747,5,10
"Egypt, 1987",22264106,22245478,8,14
"Egypt, 2000",30719017,30914338,12,36
"Egypt, 2001",31306800,31525000,20,29
"Egypt, 2002",31899771,32149093,16,20
"Egypt, 2003",32499404,32785577,14,28
"Egypt, 2004",29971119,31378489,14,40
"Egypt, 2005",30527937,32003747,15,37
"Egypt, 2006",31119043,32559421,14,29
"Egypt, 2007",31750705,33187944,9,23
"Egypt, 2008",32821816,34312769,14,27
"Egypt, 2009",36199054,36690915,12,40
"Egypt, 2010",36857705,37381197,17,31
"Egypt, 2011",37592085,38151355,20,156
"Egypt, 2012",38265297,38851535,39,172
"Egypt, 2013",38912004,39519385,23,126
"Egypt, 2014",37782467,39199073,17,71
"Egypt, 2015",38732094,40153072,13,35
"El Salvador, 1981",1986934,1906799,112,365
"El Salvador, 1982",2053000,2062000,127,419
"El Salvador, 1983",2146000,2156000,170,430
"El Salvador, 1984",2227400,2233400,162,397
"El Salvador, 1990",2324156,2186396,196,375
"El Salvador, 1991",2361039,2215946,154,320
"El Salvador, 1992",2358400,2233200,147,272
"El Salvador, 1993",2411200,2283100,152,272
"El Salvador, 1995",2507182,2329215,202,418
"El Salvador, 1996",2539710,2352681,168,372
"El Salvador, 1997",2573093,2376209,198,379
"El Salvador, 1998",2606834,2399504,167,345
"El Salvador, 1999",2640454,2422305,169,346
"El Salvador, 2000",2673637,2444552,142,319
"El Salvador, 2001",2707534,2467560,152,362
"El Salvador, 2002",2740914,2489544,132,304
"El Salvador, 2003",2773305,2510237,139,388
"El Salvador, 2004",2803991,2529179,115,349
"El Salvador, 2005",2832655,2546224,118,337
"El Salvador, 2006",2863370,2565674,118,293
"El Salvador, 2007",2888372,2579489,112,389
"El Salvador, 2008",2909566,2589721,116,374
"El Salvador, 2009",2929715,2599195,113,393
"El Salvador, 2010",2950680,2609773,95,304
"El Salvador, 2011",2968446,2617339,118,367
"El Salvador, 2012",2989691,2629132,116,396
"El Salvador, 2013",3013311,2643939,98,386
"El Salvador, 2014",3037035,2659294,108,278
"Estonia, 1981",741000,628200,142,402
"Estonia, 1982",744200,631800,120,361
"Estonia, 1985",755900,645900,99,371
"Estonia, 1986",761200,652200,113,310
"Estonia, 1987",767000,659600,92,304
"Estonia, 1988",772100,666200,111,270
"Estonia, 1989",775533,671116,120,288
"Estonia, 1990",776476,672706,118,310
"Estonia, 1991",774665,670768,108,315
"Estonia, 1992",765304,659511,121,374
"Estonia, 1993",751594,644018,122,452
"Estonia, 1994",740819,632976,118,496
"Estonia, 1995",732405,624246,128,466
"Estonia, 1996",725418,616784,112,433
"Estonia, 1997",720048,611186,91,431
"Estonia, 1998",715181,606538,81,396
"Estonia, 1999",710815,602383,93,375
"Estonia, 2000",715455,618720,88,289
"Estonia, 2001",711200,614410,86,315
"Estonia, 2002",706835,609855,72,299
"Estonia, 2003",702060,605100,66,276
"Estonia, 2004",697335,600315,59,264
"Estonia, 2005",692660,595835,53,220
"Estonia, 2006",687665,591250,56,191
"Estonia, 2007",683390,587025,46,205
"Estonia, 2008",679985,584020,53,189
"Estonia, 2009",676875,582135,49,220
"Estonia, 2010",673735,580490,42,181
"Estonia, 2011",670591,578836,40,178
"Estonia, 2012",670869,580762,47,190
"Estonia, 2013",665983,577113,47,171
"Estonia, 2014",664500,577352,48,193
"Estonia, 2015",664414,579036,36,159
"Fiji, 2001",354477,364982,8,28
"Fiji, 2002",355999,367188,16,26
"Fiji, 2003",356811,368780,4,6
"Fiji, 2004",357833,370575,8,16
"Fiji, 2005",359588,373019,6,16
"Fiji, 2006",361855,375904,9,15
"Fiji, 2007",365256,379799,3,10
"Fiji, 2008",369386,384272,12,25
"Fiji, 2009",373675,388728,7,19
"Fiji, 2011",380724,395601,8,30
"Fiji, 2012",384235,398704,10,22
"Finland, 1987",2387200,2226900,298,1065
"Finland, 1988",2396300,2237300,295,1107
"Finland, 1989",2405700,2248600,295,1118
"Finland, 1990",2414700,2260400,319,1193
"Finland, 1991",2425100,2273400,303,1190
"Finland, 1992",2434600,2286300,295,1156
"Finland, 1993",2443500,2297500,291,1106
"Finland, 1994",2452200,2309400,307,1080
"Finland, 1995",2461000,2320300,308,1080
"Finland, 1996",2470500,2331700,282,965
"Finland, 1997",2479800,2343400,284,1038
"Finland, 1998",2489433,2355240,266,962
"Finland, 1999",2498287,2365968,253,954
"Finland, 2000",2505936,2375884,292,873
"Finland, 2001",2513156,2385827,271,933
"Finland, 2002",2520068,2395546,271,824
"Finland, 2003",2525902,2403954,260,815
"Finland, 2004",2532379,2412386,252,812
"Finland, 2005",2540007,2421777,270,724
"Finland, 2006",2548058,2431682,259,803
"Finland, 2007",2556619,2442234,244,751
"Finland, 2008",2565736,2454360,232,801
"Finland, 2009",2575455,2466861,273,761
"Finland, 2010",2584968,2478526,236,718
"Finland, 2011",2595065,2490920,202,710
"Finland, 2012",2605948,2504502,218,655
"Finland, 2013",2617028,2518405,221,666
"Finland, 2014",2628022,2531922,190,599
"Finland, 2015",2637592,2544205,173,558
"France, 1979",25492100,24313200,2891,7102
"France, 1980",25605100,24421100,3044,7362
"France, 1981",25697100,24509100,3045,7541
"France, 1982",26045800,24664900,3287,8074
"France, 1983",26168200,24759700,3439,8475
"France, 1984",26288600,24853000,3494,8619
"France, 1985",26422100,24960500,3603,8898
"France, 1986",26558500,25079100,3657,8872
"France, 1987",26702400,25198400,3574,8587
"France, 1988",26838800,25318800,3365,8234
"France, 1989",26969100,25448800,3372,8343
"France, 1990",27263800,25689100,3225,8178
"France, 1991",27429500,25853400,3281,8221
"France, 1992",27599900,26022400,3202,8442
"France, 1993",27764200,26181200,3390,8861
"France, 1994",27920500,26326600,3169,8872
"France, 1995",28066100,26462400,3214,8605
"France, 1996",28200800,26590800,3105,8174
"France, 1997",28330500,26715000,3040,8099
"France, 1998",28450500,26830200,2763,7771
"France, 1999",28407095,26636298,2841,7427
"France, 2000",28519605,26748019,2874,7975
"France, 2001",28641493,26869779,2789,7660
"France, 2002",28861173,27074344,2915,7728
"France, 2003",29075425,27284977,2833,8038
"France, 2004",29305421,27508501,2949,7855
"France, 2005",29482686,27678001,2884,7829
"France, 2006",29938048,27886399,2830,7593
"France, 2007",30108155,28058856,2708,7419
"France, 2008",30268224,28214743,2734,7619
"France, 2009",30413079,28357648,2734,7765
"France, 2010",30554559,28501724,2738,7641
"France, 2011",30698311,28646332,2618,7790
"France, 2012",30843165,28795292,2417,7326
"France, 2013",30982964,28927105,2375,7225
"France, 2014",31162818,29113136,2220,6661
"French Guiana, 1979",27900,27700,5,4
"French Guiana, 2001",72235,75921,2,5
"French Guiana, 2002",76689,78743,4,7
"French Guiana, 2003",81303,81541,1,22
"French Guiana, 2004",85691,84347,3,24
"French Guiana, 2005",89605,87178,11,14
"French Guiana, 2006",92619,89891,3,10
"French Guiana, 2007",95088,92613,8,15
"French Guiana, 2008",97286,95413,5,15
"French Guiana, 2009",99545,98306,5,11
"French Guiana, 2010",102075,101302,5,11
"French Guiana, 2011",106116,104148,6,15
"French Guiana, 2012",108228,107678,4,15
"French Guiana, 2013",111649,111025,5,14
"French Guiana, 2014",115149,114410,4,11
"Georgia, 1981",2482500,2168800,80,229
"Georgia, 1982",2498700,2187700,70,189
"Georgia, 1985",2548100,2248000,73,166
"Georgia, 1986",2563800,2268400,74,164
"Georgia, 1987",2580700,2288700,72,154
"Georgia, 1988",2599700,2311100,66,163
"Georgia, 1989",2614700,2329500,76,171
"Georgia, 1990",2639700,2346700,56,140
"Georgia, 1991",2657650,2360900,51,123
"Georgia, 1992",2642550,2346150,53,151
"Georgia, 1994",2395850,2123050,33,90
"Georgia, 1995",2339500,2071350,32,106
"Georgia, 1996",2287250,2023100,38,124
"Georgia, 1997",2251250,1989350,35,141
"Georgia, 1998",2235350,1973900,30,118
"Georgia, 1999",2224700,1963050,42,147
"Georgia, 2000",2213850,1951750,28,102
"Georgia, 2001",2201100,1939850,27,73
"Georgia, 2004",2175650,1914200,28,147
"Georgia, 2005",2192400,1939600,18,69
"Georgia, 2006",2206750,1959750,13,59
"Georgia, 2007",2199150,1955750,20,84
"Georgia, 2009",2198300,1960450,39,149
"Georgia, 2010",2212000,1981800,16,96
"Georgia, 2011",2215200,1987400,15,84
"Georgia, 2012",2212200,1988700,13,91
"Georgia, 2013",2206300,1986300,23,134
"Georgia, 2014",1826400,1644200,36,158
"Georgia, 2015",1816600,1641800,48,144
"Germany, 1990",38943900,36014900,4390,9534
"Germany, 1991",39141800,36354100,4354,9656
"Germany, 1992",39361600,36770100,4132,9326
"Germany, 1993",39609900,37183500,3730,8960
"Germany, 1994",39772400,37391000,3588,9130
"Germany, 1995",39927600,37619900,3666,9222
"Germany, 1996",40054700,37827800,3497,8728
"Germany, 1997",40123600,37944300,3421,8835
"Germany, 1998",40111000,37960100,3073,8581
"Germany, 1999",40119400,38021800,3078,8082
"Germany, 2000",40151408,38090658,2937,8136
"Germany, 2001",40218646,38202868,2971,8196
"Germany, 2002",40299528,38334243,3059,8117
"Germany, 2003",40338834,38417627,2973,8182
"Germany, 2004",40353293,38458521,2795,7946
"Germany, 2005",40354959,38496295,2739,7531
"Germany, 2006",40325579,38503415,2544,7231
"Germany, 2007",40277631,38498954,2397,7012
"Germany, 2008",40198316,38464473,2414,7045
"Germany, 2009",40073381,38375221,2373,7206
"Germany, 2010",39997721,38351346,2559,7471
"Germany, 2011",39965852,38405288,2502,7651
"Germany, 2012",39981964,38526151,2607,7289
"Germany, 2013",39533523,37737465,2635,7456
"Germany, 2014",39615918,37936451,2588,7629
"Germany, 2015",39783984,38352699,2685,7403
"Greece, 1979",4473900,4267400,91,186
"Greece, 1980",4562700,4362400,93,221
"Greece, 1981",4602900,4410600,102,220
"Greece, 1982",4633800,4445600,105,242
"Greece, 1983",4666100,4478700,102,266
"Greece, 1984",4697900,4512700,109,280
"Greece, 1985",4729100,4546300,128,277
"Greece, 1986",4757700,4576300,101,292
"Greece, 1987",4781100,4606300,114,296
"Greece, 1988",4813000,4637000,115,288
"Greece, 1989",4851000,4676500,105,278
"Greece, 1990",4892800,4724200,78,271
"Greece, 1991",4942931,4778213,84,297
"Greece, 1992",4991636,4842519,72,279
"Greece, 1993",5033544,4896861,104,308
"Greece, 1994",5073152,4945780,74,281
"Greece, 1995",5111194,4990438,64,306
"Greece, 1996",5147549,5030930,62,294
"Greece, 1997",5181814,5066992,55,319
"Greece, 1998",5212730,5097900,88,315
"Greece, 1999",5239199,5123164,85,296
"Greece, 2000",5260557,5142502,84,298
"Greece, 2001",5281372,5160157,48,286
"Greece, 2002",5302721,5179324,66,257
"Greece, 2003",5320545,5195120,69,306
"Greece, 2004",5336830,5210460,68,285
"Greece, 2005",5354375,5228441,79,321
"Greece, 2006",5372005,5246886,68,326
"Greece, 2007",5388842,5264749,60,268
"Greece, 2008",5405704,5281019,65,308
"Greece, 2009",5423296,5296322,58,333
"Greece, 2010",5431842,5303542,41,336
"Greece, 2011",5428292,5300432,84,393
"Greece, 2012",5391362,5148440,91,417
"Greece, 2013",5365176,5066113,108,425
"Greece, 2014",5352598,5027949,115,450
"Greece, 2015",5336865,4994421,107,422
"Grenada, 1985",44077,41298,0,1
"Grenada, 1988",44300,43000,1,3
"Grenada, 1989",41792,40013,0,4
"Grenada, 1990",40200,41800,0,2
"Grenada, 1991",42000,40400,0,0
"Grenada, 1992",42431,41097,0,0
"Grenada, 1993",43313,41991,0,3
"Grenada, 1994",44178,42858,0,4
"Grenada, 1995",44881,43552,1,0
"Grenada, 1996",45556,44216,0,1
"Grenada, 2001",46348,45067,0,0
"Grenada, 2002",46553,45355,0,0
"Grenada, 2003",46822,45745,0,4
"Grenada, 2004",47074,46128,0,1
"Grenada, 2005",47253,46432,1,5
"Grenada, 2006",47417,46709,0,1
"Grenada, 2007",47508,46910,1,2
"Grenada, 2008",47544,47041,0,0
"Grenada, 2009",47579,47167,0,0
"Grenada, 2010",47651,47329,0,0
"Grenada, 2011",47667,47435,0,1
"Grenada, 2012",47785,47641,0,2
"Grenada, 2013",47964,47912,0,0
"Grenada, 2014",48181,48212,0,0
"Grenada, 2015",48397,48495,0,0
"Grenada, 2016",48640,48812,0,0
"Guadeloupe, 1981",152145,146059,4,22
"Guadeloupe, 2000",203576,187266,5,32
"Guadeloupe, 2001",205156,189323,9,24
"Guadeloupe, 2002",206222,191451,8,28
"Guadeloupe, 2003",207158,193483,6,25
"Guadeloupe, 2004",208427,195187,6,33
"Guadeloupe, 2005",210360,196391,16,30
"Guadeloupe, 2006",213195,196704,9,30
"Guadeloupe, 2007",216704,196619,9,25
"Guadeloupe, 2008",220459,196292,5,38
"Guadeloupe, 2009",223861,195898,11,28
"Guadeloupe, 2010",226422,195568,11,33
"Guadeloupe, 2011",203930,174592,6,26
"Guadeloupe, 2012",228577,195596,12,28
"Guadeloupe, 2013",228564,195559,6,33
"Guadeloupe, 2014",228384,195522,8,17
"Guatemala, 1979",2888159,2904282,10,79
"Guatemala, 1980",2964231,2973173,13,74
"Guatemala, 1981",3040989,3042699,3,35
"Guatemala, 1984",3195000,3281000,4,36
"Guatemala, 1986",3482969,3441219,36,167
"Guatemala, 1987",3580575,3528165,57,184
"Guatemala, 1988",3681919,3618157,31,143
"Guatemala, 1989",3784570,3708538,30,122
"Guatemala, 1990",3886656,3797336,27,131
"Guatemala, 1991",3992155,3888510,32,124
"Guatemala, 1992",4094557,3975115,38,135
"Guatemala, 1993",4195651,4059307,30,135
"Guatemala, 1994",4298910,4145004,20,122
"Guatemala, 1995",4406568,4234944,47,164
"Guatemala, 1996",4510773,4321553,33,124
"Guatemala, 1997",4625694,4418511,44,135
"Guatemala, 1998",4749133,4524396,45,156
"Guatemala, 1999",4876865,4635801,42,192
"Guatemala, 2000",5005580,4750005,40,142
"Guatemala, 2001",5140875,4874222,52,150
"Guatemala, 2002",5276391,5000775,64,194
"Guatemala, 2003",5412883,5130097,53,200
"Guatemala, 2004",5553209,5264599,66,184
"Guatemala, 2005",5699188,5405718,61,177
"Guatemala, 2006",5846722,5550412,71,227
"Guatemala, 2007",6003270,5705127,64,263
"Guatemala, 2008",6166074,5866811,121,371
"Guatemala, 2009",6329993,6029952,145,366
"Guatemala, 2010",6491480,6190671,82,270
"Guatemala, 2011",6659365,6357977,108,251
"Guatemala, 2012",6818871,6516554,110,310
"Guatemala, 2013",6972713,6669165,124,331
"Guatemala, 2014",7126054,6821136,156,356
"Guatemala, 2015",7282364,6976033,144,350
"Guyana, 1979",374000,365100,0,0
"Guyana, 1984",402000,401000,5,7
"Guyana, 1988",330245,324649,14,42
"Guyana, 1989",331072,323032,26,68
"Guyana, 1990",331813,321613,25,64
"Guyana, 1991",333045,321575,29,76
"Guyana, 1992",334651,322062,18,60
"Guyana, 1993",336135,322696,15,57
"Guyana, 1994",337217,323365,27,59
"Guyana, 1995",337711,323971,22,77
"Guyana, 1996",336116,322932,9,51
"Guyana, 1997",334723,322861,4,36
"Guyana, 1998",333553,323536,4,31
"Guyana, 1999",332575,324519,42,121
"Guyana, 2001",332493,327933,43,154
"Guyana, 2002",332980,329859,34,142
"Guyana, 2003",333362,331343,45,153
"Guyana, 2004",333765,332543,48,138
"Guyana, 2005",334189,333520,42,127
"Guyana, 2006",334538,333870,50,151
"Guyana, 2007",334869,333919,42,143
"Guyana, 2008",335278,333975,44,124
"Guyana, 2009",335833,334322,47,109
"Guyana, 2010",336617,335208,49,156
"Guyana, 2011",337983,337300,39,153
"Guyana, 2012",339529,339827,50,156
"Guyana, 2013",341205,342662,50,160
"Hong Kong SAR, 1979",2165500,2325900,292,369
"Hong Kong SAR, 1980",2225100,2434000,294,388
"Hong Kong SAR, 1981",2260600,2478900,216,301
"Hong Kong SAR, 1982",2302000,2508800,177,271
"Hong Kong SAR, 1983",2343200,2541900,188,270
"Hong Kong SAR, 1984",2375800,2561400,197,300
"Hong Kong SAR, 1985",2412600,2587300,304,410
"Hong Kong SAR, 1986",2482600,2632900,286,389
"Hong Kong SAR, 1987",2531600,2676200,270,349
"Hong Kong SAR, 1988",2575900,2712200,262,317
"Hong Kong SAR, 1989",2624100,2746800,257,347
"Hong Kong SAR, 1990",2601600,2727200,295,382
"Hong Kong SAR, 1991",2635600,2751600,289,459
"Hong Kong SAR, 1992",2668200,2775000,305,427
"Hong Kong SAR, 1993",2724800,2823600,252,357
"Hong Kong SAR, 1994",2794900,2894300,337,414
"Hong Kong SAR, 1995",2890700,2887800,284,439
"Hong Kong SAR, 1996",3034200,3022800,286,494
"Hong Kong SAR, 1997",3080000,3046100,260,381
"Hong Kong SAR, 1998",3131300,3072700,302,544
"Hong Kong SAR, 1999",3187700,3096500,325,544
"Hong Kong SAR, 2000",3247200,3123100,349,541
"Hong Kong SAR, 2001",3301500,3140000,389,608
"Hong Kong SAR, 2002",3343100,3149300,356,684
"Hong Kong SAR, 2003",3357200,3136300,369,732
"Hong Kong SAR, 2004",3407300,3148500,441,831
"Hong Kong SAR, 2005",3442500,3149600,430,713
"Hong Kong SAR, 2006",3484400,3159700,412,629
"Hong Kong SAR, 2007",3529200,3172600,343,575
"Hong Kong SAR, 2008",3562400,3176200,342,535
"Hong Kong SAR, 2009",3579700,3167100,398,626
"Hong Kong SAR, 2010",3616100,3170100,378,629
"Hong Kong SAR, 2011",3648900,3173500,315,501
"Hong Kong SAR, 2012",3696800,3191000,309,513
"Hong Kong SAR, 2013",3723500,3195700,380,617
"Hong Kong SAR, 2014",3756900,3207100,363,563
"Hong Kong SAR, 2015",3790100,3219400,363,627
"Hungary, 1979",5084900,4743200,1464,3303
"Hungary, 1980",5112100,4754400,1462,3335
"Hungary, 1981",5134500,4774200,1586,3285
"Hungary, 1982",5153600,4789900,1442,3213
"Hungary, 1983",5167900,4801200,1455,3451
"Hungary, 1984",5178500,4808000,1414,3486
"Hungary, 1985",5184900,4809500,1278,3447
"Hungary, 1986",5186000,4806200,1424,3393
"Hungary, 1987",5184400,4800500,1405,3377
"Hungary, 1988",5180500,4793100,1405,2972
"Hungary, 1989",5174500,4782600,1264,3132
"Hungary, 1990",5090543,4667116,1153,2980
"Hungary, 1991",5094860,4662906,1113,2880
"Hungary, 1992",5098281,4656675,1061,2939
"Hungary, 1993",5099944,4647958,979,2715
"Hungary, 1994",5101598,4639219,898,2727
"Hungary, 1995",5104788,4632460,891,2475
"Hungary, 1996",5108827,4628423,916,2520
"Hungary, 1997",5112484,4625297,825,2383
